scientific_name,common_name,family,height (feet),height_min,height_max,spread (feet),spread_min,spread_max,type,bloom_time,bloom_start,bloom_end,maintenance,sun,sun_max,sun_min,water,zone,zone_min,zone_max,bloom_desc,native_range
Artemisia frigida,Silky Wormwood,Asteraceae,0.50 to 1.50,0.5,1.5,1.00 to 1.50,1.0,1.5,Herbaceous perennial,August,August,,Medium,Full sun,full sun,,Dry,3 to 10,3,10,Yellow," Asia, eastern Europe, North America"
Artemisia lactiflora (Guizhou Group),White Mugwort,Asteraceae,4.00 to 5.00,4.0,5.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,August to September,August,September,Medium,Full sun,full sun,,Medium,3 to 8,3,8,Creamy white,
Artemisia ludoviciana,White Sage,Asteraceae,2.00 to 3.00,2.0,3.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,August to September,August,September,Medium,Full sun,full sun,,Dry to medium,4 to 9,4,9,Yellowish-gray, Western North America to Mexico
Artemisia ludoviciana 'Silver Frost',Western Mugwort,Asteraceae,1.00 to 1.50,1.0,1.5,1.00 to 1.50,1.0,1.5,Herbaceous perennial,August to September,August,September,Medium,Full sun,full sun,,Dry to medium,5 to 9,5,9,Yellow,
Artemisia ludoviciana 'Silver King',White Sage,Asteraceae,2.00 to 3.00,2.0,3.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,August to September,August,September,Medium,Full sun,full sun,,Dry to medium,4 to 9,4,9,Yellowish-gray,
Artemisia ludoviciana 'Valerie Finnis',Western Mugwort,Asteraceae,1.50 to 2.00,1.5,2.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,August to September,August,September,Medium,Full sun,full sun,,Dry to medium,5 to 10,5,10,White,
Artemisia 'Powis Castle',Wormwood,Asteraceae,2.00 to 3.00,2.0,3.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,August to October,August,October,Medium,Full sun,full sun,,Dry to medium,6 to 9,6,9,Yellow,
Artemisia 'Tiny Green',Wormwood,Asteraceae,0.00 to 0.25,0.0,0.25,0.25 to 1.50,0.25,1.5,Herbaceous perennial,July to August,July,August,Low,Full sun,full sun,,Dry to medium,5 to 9,5,9,Yellow,
Artemisia vulgaris,Mugwort,Asteraceae,2.00 to 4.00,2.0,4.0,3.00 to 6.00,3.0,6.0,Herbaceous perennial,August to September,August,September,Medium,Full sun,full sun,,Dry to medium,3 to 8,3,8,Yellowish to reddish brown," Europe to Iran and Siberia, northern Africa"
Artemisia vulgaris 'Cragg-Barber Eye',Wormwood,Asteraceae,2.00 to 4.00,2.0,4.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,August to September,August,September,Medium,Full sun,full sun,,Dry to medium,4 to 8,4,8,White,
Salvia 'Eveline',Sage,Lamiaceae,1.50 to 2.00,1.5,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to July,May,July,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Pink and purple,
Salvia farinacea,Mealycup Sage,Lamiaceae,1.00 to 3.00,1.0,3.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,May to frost,May,frost,Low,Full sun to part shade,full sun,part shade,Medium,8 to 10,8,10,Violet blue," Texas, Mexico"
Salvia farinacea 'Fairy Queen',Mealycup Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,0.50 to 1.25,0.5,1.25,Herbaceous perennial,May to frost,May,frost,Low,Full sun to part shade,full sun,part shade,Medium,8 to 10,8,10,Sapphire blue with white spots,
Salvia farinacea 'Victoria Blue',Mealycup Sage,Lamiaceae,1.00 to 2.00,1.0,2.0,0.75 to 1.50,0.75,1.5,Herbaceous perennial,May to frost,May,frost,Low,Full sun to part shade,full sun,part shade,Medium,8 to 10,8,10,Deep blue,
Salvia greggii 'Radio Red',Autumn Sage,Lamiaceae,2.00 to 3.00,2.0,3.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,June to October,June,October,Low,Full sun,full sun,,Dry to medium,7 to 9,7,9,Red,
Salvia greggii 'Wild Thing',Autumn Sage,Lamiaceae,2.00 to 3.00,2.0,3.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,June to October,June,October,Low,Full sun,full sun,,Dry to medium,6 to 9,6,9,Hot pink,
Salvia guaranitica,Anise-scented Sage,Lamiaceae,2.00 to 5.00,2.0,5.0,2.00 to 5.00,2.0,5.0,Herbaceous perennial,July to October,July,October,Low,Full sun to part shade,full sun,part shade,Medium,8 to 10,8,10,Deep blue with purple-blue calyx," Brazil, Argentina, Uruguay"
Salvia guaranitica 'Black and Blue',Anise-scented Sage,Lamiaceae,2.00 to 5.00,2.0,5.0,2.00 to 5.00,2.0,5.0,Herbaceous perennial,July to frost,July,frost,Low,Full sun to part shade,full sun,part shade,Medium,8 to 10,8,10,Deep blue with black calyces,
Salvia holwayi,Sage,Lamiaceae,3.00 to 5.00,3.0,5.0,4.00 to 8.00,4.0,8.0,Herbaceous perennial,October to frost,October,frost,Low,Full sun to part shade,full sun,part shade,Medium,9 to 11,9,11,Red, Guatemala and Mexico
Salvia koyamae,Sage,Lamiaceae,1.50 to 2.00,1.5,2.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,August to October,August,October,Low,Part shade,part shade,,Medium,5 to 9,5,9,Yellow, Japan
Salvia leucantha,Mexican Bush Sage,Lamiaceae,2.00 to 3.00,2.0,3.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,August to frost,August,frost,Low,Full sun,full sun,,Medium,8 to 10,8,10,White with purple calyx, Mexico and tropical Americas
Salvia lyrata,Cancer Weed,Lamiaceae,1.00 to 2.00,1.0,2.0,0.75 to 1.00,0.75,1.0,Herbaceous perennial,April to June,April,June,Medium,Full sun,full sun,,Medium to wet,5 to 8,5,8,Purple, Eastern and central United States
Salvia nemorosa,Sage,Lamiaceae,1.50 to 3.00,1.5,3.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Medium,4 to 8,4,8,Lavender to violet blue," Europe, Asia"
Salvia nemorosa 'Caradonna',Sage,Lamiaceae,1.00 to 2.00,1.0,2.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Blue-violet,
Salvia nemorosa 'Lubecca',Sage,Lamiaceae,1.00 to 2.00,1.0,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to September,May,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Violet-blue,
Salvia nemorosa 'Marcus',Sage,Lamiaceae,0.50 to 1.00,0.5,1.0,0.75 to 1.00,0.75,1.0,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Deep violet,
Salvia nemorosa 'New Dimension Blue',Sage,Lamiaceae,0.75 to 1.00,0.75,1.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,5 to 8,5,8,Violet-blue,
Salvia nemorosa 'New Dimension Rose',Sage,Lamiaceae,0.75 to 1.00,0.75,1.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,5 to 8,5,8,Rose-pink,
Salvia nemorosa 'Ostfriesland' EAST FRIESLAND,Meadow Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,0.75 to 1.00,0.75,1.0,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Violet purple,
Salvia nemorosa 'Perfect Profusion',Sage,Lamiaceae,1.25 to 1.75,1.25,1.75,1.25 to 1.75,1.25,1.75,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Light blue,
Salvia nemorosa 'Pusztaflamme' PLUMOSA,Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,1.00 to 1.50,1.0,1.5,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Deep rosy pink,
Salvia nemorosa 'Rosenwein' ROSE WINE,Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,0.75 to 1.00,0.75,1.0,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Rose-pink to rose-red,
Salvia nemorosa 'Schwellenburg',Sage,Lamiaceae,1.00 to 2.00,1.0,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Rose-purple,
Salvia nemorosa 'Sensation Rose',Sage,Lamiaceae,0.75 to 1.00,0.75,1.0,0.75 to 1.50,0.75,1.5,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Lavender-pink,
Salvia nemorosa 'Wesuwe',Meadow Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,1.50 to 2.00,1.5,2.0,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,3 to 8,3,8,Purple,
Salvia nemorosa 'White Profusion',Sage,Lamiaceae,1.50 to 1.75,1.5,1.75,1.50 to 1.75,1.5,1.75,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,White,
Salvia 'Novasalfuc' ARCTIC BLAZE FUCHSIA,Sage,Lamiaceae,1.50 to 2.00,1.5,2.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,May to September,May,September,Low,Full sun,full sun,,Medium,7 to 11,7,11,Magenta pink,
Salvia officinalis,Common Sage,Lamiaceae,2.00 to 2.50,2.0,2.5,2.00 to 2.50,2.0,2.5,Herbaceous perennial,June,June,,Medium,Full sun,full sun,,Dry to medium,4 to 8,4,8,Blue, Mediterranean and northern Africa
Salvia officinalis 'Aurea',Common Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,1.50 to 2.00,1.5,2.0,Herbaceous perennial,May to June,May,June,Medium,Full sun,full sun,,Dry to medium,6 to 9,6,9,Lilac-blue,
Salvia officinalis 'Berggarten',Common Sage,Lamiaceae,1.50 to 2.00,1.5,2.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,June to July,June,July,Medium,Full sun,full sun,,Dry to medium,5 to 8,5,8,Blue/purple,
Salvia officinalis 'Icterina',Common Sage,Lamiaceae,1.00 to 2.00,1.0,2.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,June,June,,Medium,Full sun,full sun,,Dry to medium,4 to 8,4,8,Purplish blue,
Salvia officinalis 'Nana',Common Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,1.00 to 1.50,1.0,1.5,Herbaceous perennial,June,June,,Medium,Full sun,full sun,,Dry to medium,4 to 8,4,8,Lavender-blue,
Salvia officinalis 'Purpurascens',Common Sage,Lamiaceae,1.00 to 2.00,1.0,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Medium,Full sun,full sun,,Dry to medium,6 to 9,6,9,Lavender-blue,
Salvia officinalis 'Sage of Bath',Common Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Medium,Full sun,full sun,,Dry to medium,5 to 7,5,7,Pink,
Salvia officinalis 'Tricolor',Common Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Medium,Full sun,full sun,,Dry to medium,6 to 9,6,9,Lavender-blue,
Salvia patens 'Patio Dark Blue',Gentian Sage,Lamiaceae,0.75 to 1.00,0.75,1.0,0.75 to 1.00,0.75,1.0,Herbaceous perennial,June to October,June,October,Low,Full sun,full sun,,Medium,8 to 10,8,10,Blue,
Salvia patens 'Patio Sky Blue',Gentian Sage,Lamiaceae,0.75 to 1.00,0.75,1.0,0.75 to 1.00,0.75,1.0,Herbaceous perennial,June to October,June,October,Low,Full sun,full sun,,Medium,8 to 10,8,10,Light blue,
Salvia penstemonoides,Big Red Sage,Lamiaceae,3.00 to 5.00,3.0,5.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,June to September,June,September,Low,Full sun to part shade,full sun,part shade,Medium,6 to 10,6,10,Rose red, Texas
Salvia 'Pink Dawn',Sage,Lamiaceae,1.25 to 1.75,1.25,1.75,1.25 to 1.75,1.25,1.75,Herbaceous perennial,May to June,May,June,Low,Full sun,full sun,,Dry to medium,3 to 8,3,8,Cotton candy pink,
Salvia pratensis,Meadow Sage,Lamiaceae,1.00 to 3.00,1.0,3.0,1.00 to 3.00,1.0,3.0,Herbaceous perennial,May to September,May,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Deep lavender blue," Europe, western Asia, northern Africa"
Salvia pratensis 'Swan Lake',Meadow Sage,Lamiaceae,1.50 to 2.50,1.5,2.5,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to September,May,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,White,
Salvia RASPBERRY DELIGHT,Sage,Lamiaceae,2.00 to 3.00,2.0,3.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,July to September,July,September,Low,Full sun,full sun,,Dry to medium,6 to 9,6,9,Raspberry red,
Salvia rosmarinus,Rosemary,Lamiaceae,2.00 to 6.00,2.0,6.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,June to July,June,July,Medium,Full sun,full sun,,Dry to medium,8 to 10,8,10,Pale blue to white," Northern Africa, western Asia, southern Europe"
Salvia rosmarinus 'Arp',Rosemary,Lamiaceae,3.00 to 6.00,3.0,6.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun,full sun,,Dry to medium,7 to 10,7,10,Dark blue,
Salvia rosmarinus 'Athens Blue Spires',Rosemary,Lamiaceae,4.00 to 5.00,4.0,5.0,2.00 to 4.00,2.0,4.0,Broadleaf evergreen,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun,full sun,,Dry to medium,7 to 10,7,10,Blue,
Salvia rosmarinus 'Blue Rain',Rosemary,Lamiaceae,0.50 to 0.75,0.5,0.75,1.50 to 2.00,1.5,2.0,Broadleaf evergreen,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun,full sun,,Dry to medium,8 to 10,8,10,Pale blue,
Salvia rosmarinus 'Gorizia',Rosemary,Lamiaceae,3.00 to 5.00,3.0,5.0,3.00 to 5.00,3.0,5.0,Broadleaf evergreen,June to July,June,July,Medium,Full sun,full sun,,Dry to medium,8 to 10,8,10,Light blue,
Salvia rosmarinus 'Joyce DeBaggio',Rosemary,Lamiaceae,3.00 to 5.00,3.0,5.0,3.00 to 5.00,3.0,5.0,Broadleaf evergreen,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun,full sun,,Dry to medium,8 to 10,8,10,Blue,
Salvia rosmarinus 'Madeline Hill',Rosemary,Lamiaceae,2.50 to 3.00,2.5,3.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun,full sun,,Dry to medium,6 to 10,6,10,Blue,
Salvia rosmarinus 'Majorca Pink',Rosemary,Lamiaceae,2.00 to 3.00,2.0,3.0,1.00 to 2.00,1.0,2.0,Broadleaf evergreen,June to July,June,July,Medium,Full sun,full sun,,Dry to medium,8 to 10,8,10,Pink,
Salvia rosmarinus 'Renzels' IRENE,Rosemary,Lamiaceae,1.00 to 1.50,1.0,1.5,1.00 to 3.00,1.0,3.0,Herbaceous perennial,June to July,June,July,Medium,Full sun,full sun,,Dry to medium,7 to 10,7,10,Violet blue,
Salvia rosmarinus 'Roman Beauty' CHEF'S CHOICE,Rosemary,Lamiaceae,2.00 to 3.00,2.0,3.0,1.00 to 2.00,1.0,2.0,Broadleaf evergreen,June to July,June,July,Medium,Full sun,full sun,,Dry to medium,8 to 10,8,10,Violet-blue,
Salvia rosmarinus 'Salem',Rosemary,Lamiaceae,3.00 to 6.00,3.0,6.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun,full sun,,Dry to medium,8 to 10,8,10,Blue,
Salvia rosmarinus 'Sawyer's Select',Rosemary,Lamiaceae,3.00 to 6.00,3.0,6.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun,full sun,,Dry to medium,8 to 10,8,10,Light purple,
Salvia rosmarinus 'Spice Islands',Rosemary,Lamiaceae,3.00 to 6.00,3.0,6.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun,full sun,,Dry to medium,8 to 10,8,10,Dark blue,
Salvia rosmarinus 'Well-Sweep Golden',Rosemary,Lamiaceae,1.00 to 1.50,1.0,1.5,1.00 to 3.00,1.0,3.0,Herbaceous perennial,June to July,June,July,Medium,Full sun,full sun,,Dry to medium,7 to 10,7,10,Blue-white,
Salvia sclarea,Clary Sage,Lamiaceae,2.00 to 4.00,2.0,4.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,June to August,June,August,Medium,Full sun,full sun,,Medium,5 to 9,5,9,White to lavender, Europe to central Asia
Salvia splendens,Scarlet Sage,Lamiaceae,1.00 to 2.00,1.0,2.0,0.75 to 1.50,0.75,1.5,Herbaceous perennial,June to frost,June,frost,Low,Full sun to part shade,full sun,part shade,Medium,10 to 11,10,11,Red, Brazil
Salvia × superba 'Adora Blue',Sage,Lamiaceae,1.00 to 2.50,1.0,2.5,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to September,May,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Violet-blue,
Salvia × superba 'Merleau',Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,0.75 to 1.00,0.75,1.0,Herbaceous perennial,May to September,May,September,Low,Full sun,full sun,,Dry to medium,5 to 8,5,8,Purplish-blue,
Salvia × sylvestris 'Blauhügel' BLUE HILL,Wood Sage,Lamiaceae,1.50 to 2.00,1.5,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Blue,
Salvia × sylvestris 'Little Night',Wood Sage,Lamiaceae,0.75 to 1.00,0.75,1.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Dark violet blue,
Salvia × sylvestris 'Lye End',Wood Sage,Lamiaceae,3.00 to 5.00,3.0,5.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,May to June,May,June,Low,Full sun,full sun,,Dry to medium,4 to 7,4,7,Lavender-blue,
Salvia × sylvestris 'Mainacht' MAY NIGHT,Wood Sage,Lamiaceae,1.50 to 2.00,1.5,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Deep violet-blue,
Salvia × sylvestris 'Rhapsody in Blue',Wood Sage,Lamiaceae,1.50 to 2.00,1.5,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Blue-violet,
Salvia × sylvestris 'Rose Queen',Wood Sage,Lamiaceae,1.50 to 2.00,1.5,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Rose pink,
Salvia × sylvestris 'Schneehügel' SNOW HILL,Wood Sage,Lamiaceae,1.50 to 2.00,1.5,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,White,
Salvia × sylvestris 'Viola Klose',Wood Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,0.75 to 1.00,0.75,1.0,Herbaceous perennial,May to June,May,June,Low,Full sun,full sun,,Dry to medium,4 to 8,4,8,Dark blue,
Salvia transsylvanica,Sage,Lamiaceae,2.00 to 3.00,2.0,3.0,1.50 to 2.50,1.5,2.5,Herbaceous perennial,June to September,June,September,Low,Full sun to part shade,full sun,part shade,Dry to medium,4 to 7,4,7,Lavender blue, Northern and central Russia to Romania
Salvia transsylvanica 'Blue Cloud',Sage,Lamiaceae,2.00 to 3.00,2.0,3.0,1.50 to 2.50,1.5,2.5,Herbaceous perennial,June to September,June,September,Low,Full sun to part shade,full sun,part shade,Dry to medium,4 to 7,4,7,Blue,
Salvia 'Ultra Violet',Sage,Lamiaceae,1.00 to 1.50,1.0,1.5,1.50 to 2.50,1.5,2.5,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,6 to 9,6,9,Violet-pink,
Salvia verticillata,Lilac Sage,Lamiaceae,1.50 to 2.50,1.5,2.5,1.50 to 2.00,1.5,2.0,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,5 to 8,5,8,Lilac blue," Western Asia, Europe"
Salvia verticillata 'Alba',Lilac Sage,Lamiaceae,1.50 to 2.00,1.5,2.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,June to September,June,September,Low,Full sun,full sun,,Dry to medium,5 to 8,5,8,White,
Salvia verticillata 'Purple Rain',Lilac Sage,Lamiaceae,1.00 to 2.00,1.0,2.0,1.50 to 2.50,1.5,2.5,Herbaceous perennial,July to September,July,September,Low,Full sun,full sun,,Dry to medium,5 to 8,5,8,Smoky purple,
Salvia 'Wendy's Wish',Sage,Lamiaceae,2.00 to 4.00,2.0,4.0,2.00 to 4.00,2.0,4.0,Broadleaf evergreen,May to September,May,September,Low,Full sun,full sun,,Dry to medium,9 to 11,9,11,Magenta pink,
Salvinia natans,Salvinia,Salviniaceae,0.25 to 0.25,0.25,0.25,0.25 to 1.00,0.25,1.0,Fern,Non-flowering,Non-flowering,,Medium,Full sun to part shade,full sun,part shade,Wet,10 to 11,10,11,Non-flowering," Southern Europe, northern Africa, Asia"
Sambucus canadensis,American Black Elderberry,Adoxaceae,5.00 to 12.00,5.0,12.0,5.00 to 12.00,5.0,12.0,Deciduous shrub,June to July,June,July,High,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,White," North and Central America, northern South America"
Sambucus canadensis 'Aurea',American Elder,Adoxaceae,5.00 to 12.00,5.0,12.0,3.00 to 10.00,3.0,10.0,Deciduous shrub,June to July,June,July,High,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,White,
Sambucus canadensis 'Laciniata',American Elderberry,Adoxaceae,5.00 to 8.00,5.0,8.0,5.00 to 8.00,5.0,8.0,Deciduous shrub,June to July,June,July,High,Full sun to part shade,full sun,part shade,Medium to wet,3 to 9,3,9,White,
Sambucus nigra,Black Elder,Adoxaceae,8.00 to 20.00,8.0,20.0,8.00 to 20.00,8.0,20.0,Deciduous shrub,May to June,May,June,High,Full sun to part shade,full sun,part shade,Medium to wet,5 to 8,5,8,White," Europe, northern Africa, southwestern Asia"
Sambucus nigra 'Eiffel 1' BLACK TOWER,Black Elder,Adoxaceae,6.00 to 8.00,6.0,8.0,3.00 to 4.00,3.0,4.0,Deciduous shrub,May to June,May,June,High,Full sun to part shade,full sun,part shade,Medium to wet,5 to 8,5,8,Pink,
Sambucus nigra 'Eva' BLACK LACE,Black Elder,Adoxaceae,6.00 to 8.00,6.0,8.0,6.00 to 8.00,6.0,8.0,Deciduous shrub,June to July,June,July,High,Full sun to part shade,full sun,part shade,Medium to wet,4 to 7,4,7,Pink,
Sambucus nigra 'Gerda' BLACK BEAUTY,Black Elder,Adoxaceae,8.00 to 15.00,8.0,15.0,4.00 to 8.00,4.0,8.0,Deciduous shrub,June to July,June,July,High,Full sun to part shade,full sun,part shade,Medium to wet,4 to 8,4,8,Pink,
Sambucus nigra 'Guincho Purple',Black Elder,Adoxaceae,8.00 to 15.00,8.0,15.0,8.00 to 15.00,8.0,15.0,Deciduous shrub,June to July,June,July,High,Full sun to part shade,full sun,part shade,Medium to wet,5 to 8,5,8,White with pink tinge,
Sambucus nigra 'Pendula',Black Elder,Adoxaceae,3.00 to 6.00,3.0,6.0,3.00 to 6.00,3.0,6.0,Deciduous shrub,June to July,June,July,High,Full sun to part shade,full sun,part shade,Medium to wet,5 to 8,5,8,,
Sambucus nigra subsp. cerulea,Blue Elder,Adoxaceae,15.00 to 30.00,15.0,30.0,15.00 to 30.00,15.0,30.0,Tree,June to July,June,July,High,Full sun to part shade,full sun,part shade,Medium to wet,4 to 9,4,9,Yellowish-white, Western North America
Sambucus nigra 'Witches Broom',Black Elder,Adoxaceae,0.50 to 0.75,0.5,0.75,0.50 to 0.75,0.5,0.75,Deciduous shrub,Rarely flowers,Rarely flowers,,High,Full sun to part shade,full sun,part shade,Medium to wet,5 to 7,5,7,Non-flowering,
Sambucus racemosa,Red Elderberry,Adoxaceae,8.00 to 12.00,8.0,12.0,8.00 to 15.00,8.0,15.0,Deciduous shrub,May to June,May,June,Medium,Full sun to part shade,full sun,part shade,Medium to wet,3 to 7,3,7,White," North America, Eurasia"
Sambucus racemosa 'Smnsrd4' LEMONY LACE,Elderberry,Adoxaceae,3.00 to 5.00,3.0,5.0,4.00 to 6.00,4.0,6.0,Deciduous shrub,May to June,May,June,Medium,Full sun to part shade,full sun,part shade,Medium to wet,3 to 7,3,7,White,
Sambucus racemosa 'Sutherland Gold',Red Elderberry,Adoxaceae,6.00 to 10.00,6.0,10.0,6.00 to 10.00,6.0,10.0,Deciduous shrub,May to June,May,June,Medium,Full sun to part shade,full sun,part shade,Medium to wet,3 to 7,3,7,White,
Sanguinaria canadensis,Bloodroot,Papaveraceae,0.50 to 0.75,0.5,0.75,0.25 to 0.50,0.25,0.5,Herbaceous perennial,March to April,March,April,Medium,Part shade to full shade,part shade,full shade,Medium,3 to 8,3,8,White or pink tinged, Eastern and central North America
Sanguisorba minor,Burnet,Rosaceae,0.75 to 2.00,0.75,2.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,July,July,,Low,Full sun,full sun,,Medium,4 to 8,4,8,Greenish with purple-tinged styles," Northern Africa, western Asia, Europe"
Sanguisorba officinalis,Greater Burnet,Rosaceae,2.50 to 3.00,2.5,3.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,May to June,May,June,Low,Full sun,full sun,,Medium,4 to 8,4,8,Dark red to black purple," Asia, Europe, North America"
Sanicula caerulescens,Blue Sanicle,Apiaceae,0.25 to 0.50,0.25,0.5,0.50 to 1.50,0.5,1.5,Herbaceous perennial,May to September,May,September,Low,Part shade to full shade,part shade,full shade,Medium,5 to 8,5,8,White with blue tip, South-central China
Sansevieria cylindrica,Bowstring Hemp,Asparagaceae,4.00 to 6.00,4.0,6.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,Rarely flowers indoors,Rarely flowers indoors,,Low,Full sun to part shade,full sun,part shade,Dry to medium,10 to 11,10,11,White," Angola, Zambia, Zimbabwe"
Sansevieria ehrenberghii 'Samurai Dwarf',Blue Sansevieria,Asparagaceae,0.25 to 0.50,0.25,0.5,0.25 to 0.50,0.25,0.5,Herbaceous perennial,Rarely flowers indoors,Rarely flowers indoors,,Low,Part shade,part shade,,Dry to medium,10 to 11,10,11,Rarely flowers indoors,
Sansevieria 'Fernwood Mikado',Mother-in-law's Tongue,Asparagaceae,3.00 to 4.00,3.0,4.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,Rarely flowers indoors,Rarely flowers indoors,,Low,Part shade,part shade,,Dry to medium,10 to 12,10,12,Rarely flowers indoors,
Sansevieria kirkii 'Silver Blue',Mother-in-law's Tongue,Asparagaceae,0.25 to 0.50,0.25,0.5,1.00 to 2.00,1.0,2.0,Herbaceous perennial,Rarely flowers indoors,Rarely flowers indoors,,Low,Part shade,part shade,,Dry to medium,10 to 12,10,12,Rarely flowers indoors,
